metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1789880721,0.014897,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
http_req_waiting,1789880721,203.211375,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
http_req_receiving,1789880721,0.132493,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
http_req_failed,1789880721,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-21T06:08:08.827Z&end_time=2026-09-21T11:08:08.827Z,,
checks,1789880721,1.000000,search status 200,,,,,,,,search_traffic,,,,,,,
http_reqs,1789880721,1.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_duration,1789880721,204.062252,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_blocked,1789880721,200.849227,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_connecting,1789880721,200.767307,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_tls_handshaking,1789880721,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_sending,1789880721,0.139351,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_waiting,1789880721,203.777541,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_receiving,1789880721,0.145360,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
http_req_failed,1789880721,0.000000,,,,true,,GET,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,HTTP/1.1,search_traffic,,200,,,http://54.224.18.26:3000/spaces/search?start_time=2026-09-20T14:30:50.012Z&end_time=2026-09-20T19:30:50.012Z,,
checks,1789880721,1.000000,search status 200,,,,,,,,search_traffic,,,,,,,
http_reqs,1789880721,1.000000,,,1409,false,,POST,http://54.224.18.26:3000/bookings,HTTP/1.1,booking_load,,409,,,http://54.224.18.26:3000/bookings,,
